IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
2.8,The American Society of Magical Negroes,2024-03-15,"['Gillian Vigman', 'Rupert Friend', 'Justice Smith', 'Aisha Hinds', 'Drew Tarver']","105
                min",Sight Unseen Pictures,Fantasy,United States of America
7,Snack Shack,2024-03-15,"['Trevor B. Nagle', 'Colin McMahon', 'J.D. Evermore', 'Mary Redelfs', 'Conor Sherry']","112
                min",T-Street,Comedy,United States of America
6.7,The Wilderness Road,2021-10-01,"['Zach Ball', 'Lamar Lott', 'Lee Cannon', 'Travis Mills', 'Creek Wilson']","123
                min",Running Wild Films,Western,United States of America
6.5,"Jump, Darling",2022-03-03,"['Andrew Bushell', 'Daniel Jun', 'Penelope Goranson', 'Jayne Eastwood', 'Linda Kash']","90
                min",Big Island Productions,Comedy,Canada
6.2,An Easter Bloom,2024-03-30,"['Benjamin Hollingsworth', 'Aimee Teegarden']","84
                min",Timeless Pictures,Drama,Canada
7.9,Ukraine: Enemy in the Woods,2024-03-25,[],"60
                min",Hoyo Films Ltd,Documentary,Ukraine
3.3,Island of the Dolls 2,2024-01-26,"['Mark Collier', 'Jenna N. Wilson', 'Tom Beechcroft', 'Gabriella Parry', 'Tara Sumner']","82
                min",Proportion Productions,Horror,United Kingdom
N/A,Bray Wyatt: Becoming Immortal,2024-03-31,"['Colby Lopez', 'Lexi Kaufman', 'Adam Scherr', 'John Cena', 'Taylor Rotunda']","123
                min",WWE Studios,Documentary,United States of America
7,Spermworld,2024-02-29,"['Steve Walker', 'Atasha Peña Clay', 'Tyree Kelly', 'Ari Nagel', 'Rachel Stanley']","84
                min",Edgeline Films,Documentary,United States of America
6.5,Silver Haze,2023-03-02,"['Alfie Deegan', 'Vicky Knight', 'Esme Creed-Miles', 'Cain Aiden', 'Angela Bruce']","103
                min",Emu Films,Drama,Netherlands
5.1,No Pressure,2024-03-27,"['Sebastian Stankiewicz', 'Damian Majewski', 'Magdalena Smalara', 'Beata Kawka', 'Mikołaj Cieślak']","111
                min",NA,Comedy,Poland
8.6,Falling in Love Like in Movies,2023-11-30,"['Dion Wiyoko', 'Uliel Kurniawan', 'Nirina Zubir', 'Rendy Umar', 'Arif Budi Santoso']","118
                min",Cerita Films,Comedy,Indonesia
