IMDB,MOVIE TITLE,Release Date,Cast,Duration,Production,Genre,Country
4.5,Cocaine Crabs From Outer Space,2022-11-04,"['Kat Andrews', 'Brent G. Baker', 'Chuck Magee', 'Bo Bolin', 'Douglass Hoffman']","83
                min",Wounded Rat Productions,,
7.1,Abigail,2024-04-18,"['Giancarlo Esposito', 'Angus Cloud', 'Alisha Weir', 'Dan Stevens', 'Matthew Goode']","109
                min",Project X Entertainment,,
7.1,Problemista,2024-03-01,"['Julio Torres', 'Ronald Peet', 'Isabella Rossellini', 'Kelly McCormack', 'Paul Cooper']","104
                min",Fruit Tree,,
7.2,Late Night with the Devil,2024-03-19,"[""John O'May"", 'Josh Quong Tart', 'Gaby Seow', 'Ingrid Torelli', 'David Dastmalchian']","93
                min",Spooky Pictures,,
5.5,Blood for Dust,2024-04-19,"['Golden Garnick', 'Ethan Suplee', 'Megan Folsom', 'Scott McCauley', 'Gabriel Clark']","98
                min",Nickel City Pictures,,
4.4,Bad Girl Boogey,2022-08-21,"['Bill Moseley', 'Joe Romeo', 'Michelle Nightingale', 'Emma Bleby', 'Chris Asimos']","80
                min",One Manner Productions,,
5.2,All You Need Is Death,2024-03-19,"['Barry McKiernan', 'Olwen Fouéré', 'Gary Whelan', 'Catherine Siggins', 'Simone Collins']","97
                min",Not Defined,,
5.2,Rebel Moon - Part Two: The Scargiver,2024-04-05,"['Ed Skrein', 'E. Duffy', 'Sofia Boutella', 'Anthony Hopkins', 'Staz Nair']","123
                min",The Stone Quarry,,
4.2,Himalaya,2024-04-14,"['Shoko Rice', 'Tony Gibbons', 'Robert Palmer Watkins', 'Akihiro Kitamura', 'Jesse LeNoir']","85
                min",Ghost Machine Pictures,,
2.7,The Deadly Swarm,2024-04-02,"['May Kelly', 'Connor Powles', 'Richard Kovacs', 'Christabel Clark', 'Leona Clarke']","81
                min",Dark Abyss Productions,,
6.6,Jimmy Carr: Natural Born Killer,2024-04-16,['Jimmy Carr'],"60
                min",Not Defined,,
5.4,Sweet Dreams,2024-04-12,"['Johnny Knoxville', 'Bobby Lee', 'Theo Von', 'Mohammed Amer', 'Jay Mohr']","95
                min",1993,,
5.1,Killer Fortune Teller,2024-04-14,"['Chloe Paige Flowers', 'Jonathan Stoddard', 'Sarah Murphree', 'Jon Briddell', 'Caina Summer Field']","86
                min",Hybrid,,
N/A,You and Eye,2023-01-15,"['Linus Ignatius', 'Liz Chuday', 'Gala Besson', 'Catriona MacColl', 'Annie Watkins']","90
                min",Firelane,,
7.3,The Ministry of Ungentlemanly Warfare,2024-04-08,"['Babs Olusanmokun', 'Alan Ritchson', 'Danny Sapani', 'Eiza González', 'Henry Golding']","120
                min",Jerry Bruckheimer Films,,
7.1,The Long Game,2024-04-12,"['Jay Hernandez', 'Dennis Quaid', 'Heather Kafka', 'Jaina Lee Ortiz', 'Gregory Diaz IV']","110
                min",Mucho Mas Media,,
6.1,The Listener,2024-03-29,"['Margaret Cho', 'Casey Wilson', 'Logan Marshall-Green', 'Matt Van Orden', 'Blu del Barrio']","96
                min",Hantz Motion Pictures,,
7.1,The Girl From Tomorrow,2023-03-08,"['Francesco Colella', 'Dario Aita', 'Gaetano Aronica', 'Claudia Gusmano', 'Thony']","100
                min",Capri Entertainment,,
4.9,Telephone World,2013-03-05,"['Gregory Chandler Maness', 'Tamarah Murley', 'Elissa Dowling', 'Julie Rose']","88
                min",Bloodshot Pictures,,
2.5,Superpietonii Zurli,2024-01-19,"['Răzvan Marina', 'Eduard Zănoagă', 'Ionut Varodi', 'Mirela Rețegan', 'Vero Căliman']","81
                min",Not Defined,,
6,Sting,2024-04-12,"['Ryan Corr', 'Penelope Mitchell', 'Noni Hazlehurst', 'Robyn Nevin', 'Alyla Browne']","91
                min",See Pictures,,
6.7,Riddle of Fire,2024-03-21,"['Charlie Stover', 'Analeigh Tipton', 'Danielle Hoetmer', 'Charles Halford', 'Phoebe Ferro']","113
                min",ANAXIA,,
6.3,Pure O,2024-04-05,"['Daniel Dorr', 'Hope Lauren', 'Clint James', 'Jeffery A. Baker', 'Breon Gorman']","118
                min",Detention Films,,
6.2,Little Ones,2023-02-22,"['Pili Groyne', 'Romane Bohringer', 'Lauréna Thellier', 'Victoire Du Bois', 'Félix Maritaud']","90
                min",Escazal Films,,
